"","Name","Flag"
"1","Aaron",1
"2","Abaddon",1
"3","Abagtha",1
"4","Abana",1
"5","Abarim",1
"6","Abba",1
"7","Abda",1
"8","Abdeel",1
"9","Abdi",1
"10","Abdiel",1
"11","Abdon",1
"12","Abednego",1
"13","Abel",1
"14","Abez",1
"15","Abia",1
"16","Abib",1
"17","Abidan",1
"18","Abieezer",1
"19","Abiel",1
"20","Abigail",1
"21","Abilene",1
"22","Abimelech",1
"23","Abner",1
"24","Abraham",1
"25","Abram",1
"26","Absalom",1
"27","Achan",1
"28","Acre",1
"29","Adah",1
"30","Adam",1
"31","Adar",1
"32","Addar",1
"33","Adder",1
"34","Addi",1
"35","Addon",1
"36","Adiel",1
"37","Adin",1
"38","Adina",1
"39","Adino",1
"40","Admah",1
"41","Adonijah",1
"42","Adoram",1
"43","Adore",1
"44","Adria",1
"45","Adriel",1
"46","Advocate",1
"47","Affection",1
"48","Agabus",1
"49","Agate",1
"50","Agrippa",1
"51","Ahab",1
"52","Ahaz",1
"53","Aholah",1
"54","Air",1
"55","Alabaster",1
"56","Alarm",1
"57","Alexander",1
"58","Alleluia",1
"59","Alliance",1
"60","Allon",1
"61","Almon",1
"62","Almond",1
"63","Almug",1
"64","Aloes",1
"65","Alphaeus",1
"66","Altar",1
"67","Altaschith",1
"68","Alush",1
"69","Amalek",1
"70","Amalekite",1
"71","Amana",1
"72","Amariah",1
"73","Amasa",1
"74","Amaziah",1
"75","Amber",1
"76","Amen",1
"77","Amethyst",1
"78","Ammon",1
"79","Amnon",1
"80","Amon",1
"81","Amos",1
"82","Amoz",1
"83","Amphipolis",1
"84","Amplias",1
"85","Amram",1
"86","Anab",1
"87","Anah",1
"88","Anak",1
"89","Anan",1
"90","Ananiah",1
"91","Ananias",1
"92","Anath",1
"93","Anathoth",1
"94","Anchor",1
"95","Andrew",1
"96","Andronicus",1
"97","Anem",1
"98","Aner",1
"99","Angel",1
"100","Anger",1
"101","Anise",1
"102","Anna",1
"103","Annas",1
"104","Anoint",1
"105","Antiochus",1
"106","Antipas",1
"107","Antonia",1
"108","Anvil",1
"109","Apollos",1
"110","Apollyon",1
"111","Apphia",1
"112","Apple",1
"113","Aquila",1
"114","Arabah",1
"115","Arabia",1
"116","Arad",1
"117","Aram",1
"118","Aran",1
"119","Ararat",1
"120","Arba",1
"121","Arch",1
"122","Archangel",1
"123","Archelaus",1
"124","Archer",1
"125","Archippus",1
"126","Archite",1
"127","Arcturus",1
"128","Ardon",1
"129","Areopagus",1
"130","Aretas",1
"131","Argob",1
"132","Arieh",1
"133","Ariel",1
"134","Arm",1
"135","Armageddon",1
"136","Armenia",1
"137","Armour",1
"138","Army",1
"139","Arnon",1
"140","Arpad",1
"141","Arrow",1
"142","Arvad",1
"143","Asa",1
"144","Ash",1
"145","Asher",1
"146","Ashes",1
"147","Asia",1
"148","Assurance",1
"149","Atad",1
"150","Ater",1
"151","Athens",1
"152","Augustus",1
"153","Ava",1
"154","Awl",1
"155","Axe",1
"156","Azal",1
"157","Azariah",1
"158","Azazel",1
"159","Azel",1
"160","Azur and Azzur",1
"161","Baalah",1
"162","Baalath",1
"163","Baana",1
"164","Baanah",1
"165","Baasha",1
"166","Babe",1
"167","Babylon",1
"168","Badger",1
"169","Baladan",1
"170","Balah",1
"171","Balak",1
"172","Balance",1
"173","Balm",1
"174","Bamah",1
"175","Bamoth",1
"176","Bani",1
"177","Banner",1
"178","Bar",1
"179","Barabbas",1
"180","Barak",1
"181","Barefoot",1
"182","Bariah",1
"183","Barkos",1
"184","Barley",1
"185","Barn",1
"186","Barnabas",1
"187","Barrel",1
"188","Barsabas",1
"189","Bartholomew",1
"190","Bartimaeus",1
"191","Baruch",1
"192","Bashan",1
"193","Bashemath",1
"194","Basin",1
"195","Basket",1
"196","Bath",1
"197","Baths",1
"198","Bath-sheba",1
"199","Bay",1
"200","Bdellium",1
"201","Beacon",1
"202","Bealiah",1
"203","Bealoth",1
"204","Beam",1
"205","Bear",1
"206","Beard",1
"207","Beast",1
"208","Beaten gold",1
"209","Becher",1
"210","Bedan",1
"211","Bedstead",1
"212","Bee",1
"213","Beer",1
"214","Beeri",1
"215","Beeroth",1
"216","Beersheba",1
"217","Beetle",1
"218","Beeves",1
"219","Behemoth",1
"220","Bekah",1
"221","Bel",1
"222","Bela",1
"223","Belial",1
"224","Bell",1
"225","Bellows",1
"226","Belshazzar",1
"227","Belteshazzar",1
"228","Benaiah",1
"229","Bench",1
"230","Benjamin",1
"231","Beor",1
"232","Bera",1
"233","Berachah",1
"234","Berea",1
"235","Berechiah",1
"236","Bered",1
"237","Beriah",1
"238","Bernice",1
"239","Berodach-baladan",1
"240","Beryl",1
"241","Besom",1
